application_id,job_id,student_id,applied_date,application_stage,final_outcome
71,17,22,2025-07-02,Screening,Rejected
72,4,22,2025-02-08,Screening,Rejected
73,9,22,2025-04-25,Interview,Rejected
74,26,23,2025-02-06,Screening,Rejected
75,18,23,2025-03-26,Screening,Rejected
76,14,23,2025-03-12,Offer,Offered
77,23,24,2025-05-21,Screening,Rejected
78,9,24,2025-04-28,Interview,Rejected
79,7,24,2025-05-22,Applied,Pending
80,15,25,2025-02-21,Applied,Pending
81,22,25,2025-01-30,Offer,Offered
82,14,26,2025-03-14,Offer,Offered
83,7,26,2025-05-22,Screening,Rejected
84,20,27,2025-05-22,Screening,Rejected
85,2,27,2025-02-02,Screening,Rejected
86,8,27,2025-02-10,Offer,Offered
87,15,27,2025-02-20,Applied,Pending
88,14,27,2025-03-18,Screening,Pending
89,10,28,2025-02-07,Screening,Pending
90,9,28,2025-04-28,Screening,Pending
91,3,29,2025-02-11,Offer,Offered
92,24,29,2025-04-16,Screening,Pending
93,14,29,2025-03-01,Interview,Pending
94,8,29,2025-02-09,Interview,Rejected
95,8,30,2025-02-05,Screening,Rejected
96,2,30,2025-02-05,Screening,Pending
97,20,30,2025-05-23,Screening,Pending
98,21,30,2025-06-05,Interview,Pending
99,11,30,2025-03-06,Applied,Pending
100,2,31,2025-02-17,Screening,Rejected
101,5,31,2025-05-16,Screening,Pending
102,14,31,2025-03-13,Screening,Rejected
103,23,32,2025-05-25,Screening,Pending
104,7,32,2025-05-11,Screening,Rejected
105,5,32,2025-05-23,Applied,Pending
106,1,32,2025-05-21,Offer,Offered
107,8,33,2025-01-30,Interview,Rejected
108,11,33,2025-03-08,Applied,Pending
109,21,33,2025-06-05,Interview,Rejected
110,25,34,2025-05-17,Interview,Rejected
111,13,34,2025-04-02,Screening,Rejected
112,4,34,2025-02-20,Interview,Pending
113,22,35,2025-01-23,Offer,Offered
114,17,35,2025-07-01,Screening,Rejected
115,13,35,2025-04-02,Applied,Pending
116,10,35,2025-02-10,Interview,Rejected
117,1,35,2025-05-26,Interview,Rejected
118,22,36,2025-01-22,Applied,Withdrawn
119,12,36,2025-05-11,Screening,Rejected
120,1,37,2025-05-18,Interview,Rejected
121,5,37,2025-05-17,Offer,Offered
122,17,37,2025-07-03,Applied,Withdrawn
123,19,38,2025-05-03,Interview,Rejected
124,3,38,2025-02-12,Screening,Rejected
125,13,39,2025-04-05,Interview,Rejected
126,24,39,2025-04-13,Interview,Rejected
127,17,39,2025-06-28,Screening,Rejected
128,20,39,2025-05-15,Interview,Rejected
129,15,40,2025-02-08,Screening,Rejected
130,5,40,2025-05-12,Interview,Rejected
131,22,41,2025-01-21,Interview,Rejected
132,20,41,2025-05-19,Interview,Rejected
133,18,42,2025-04-08,Screening,Rejected
134,23,42,2025-05-19,Screening,Pending
135,12,42,2025-05-09,Screening,Rejected
136,23,43,2025-05-20,Screening,Rejected
137,1,43,2025-05-17,Interview,Rejected
138,14,43,2025-03-05,Screening,Rejected
139,7,44,2025-05-11,Screening,Rejected
140,20,44,2025-05-14,Screening,Pending
141,1,44,2025-05-28,Interview,Rejected
142,5,45,2025-05-10,Screening,Rejected
143,12,45,2025-05-14,Screening,Rejected
144,21,45,2025-05-31,Applied,Withdrawn
145,11,46,2025-03-18,Offer,Offered
146,9,46,2025-05-01,Screening,Rejected
147,6,46,2025-03-20,Screening,Rejected
148,18,46,2025-04-07,Offer,Offered
149,17,46,2025-06-27,Applied,Pending
150,22,47,2025-01-18,Screening,Rejected
151,21,47,2025-06-03,Interview,Rejected
152,11,47,2025-03-05,Interview,Pending
153,2,47,2025-02-12,Interview,Rejected
154,12,47,2025-05-02,Screening,Rejected
155,26,48,2025-02-02,Screening,Withdrawn
156,19,48,2025-05-09,Screening,Rejected
157,24,48,2025-04-03,Applied,Withdrawn
158,10,48,2025-02-09,Applied,Withdrawn
159,6,48,2025-03-27,Screening,Pending
160,25,49,2025-05-09,Screening,Pending
161,8,49,2025-02-07,Interview,Rejected
162,1,50,2025-05-21,Screening,Pending
163,23,50,2025-05-18,Interview,Rejected
164,11,50,2025-03-18,Interview,Pending
165,15,50,2025-02-07,Interview,Pending
166,26,51,2025-02-02,Screening,Pending
167,23,51,2025-05-23,Offer,Offered
168,12,52,2025-05-10,Interview,Rejected
169,11,52,2025-03-19,Offer,Offered
170,19,52,2025-05-06,Screening,Rejected
171,21,52,2025-05-30,Screening,Rejected
172,20,53,2025-05-11,Screening,Withdrawn
173,14,53,2025-03-13,Applied,Pending
174,3,53,2025-02-18,Applied,Pending
175,15,53,2025-02-15,Screening,Rejected
176,16,53,2025-04-07,Interview,Rejected
177,18,54,2025-03-22,Interview,Rejected
178,2,54,2025-02-14,Offer,Offered
179,23,54,2025-05-21,Interview,Rejected
180,13,55,2025-04-03,Screening,Rejected
181,17,55,2025-06-21,Screening,Rejected
182,3,56,2025-02-16,Applied,Pending
183,25,56,2025-05-11,Screening,Rejected
184,1,57,2025-05-19,Screening,Rejected
185,15,57,2025-02-17,Interview,Rejected
186,6,58,2025-03-19,Interview,Rejected
187,10,58,2025-02-09,Applied,Withdrawn
188,14,58,2025-03-03,Offer,Offered
189,17,59,2025-07-05,Offer,Offered
190,2,59,2025-02-19,Applied,Pending
191,24,59,2025-04-03,Interview,Rejected
192,22,60,2025-02-03,Offer,Offered
193,1,60,2025-05-25,Screening,Rejected
194,18,60,2025-04-07,Screening,Rejected
195,7,60,2025-05-20,Screening,Rejected
196,20,60,2025-05-19,Offer,Offered
197,11,61,2025-03-13,Screening,Rejected
198,24,61,2025-04-09,Screening,Rejected
199,23,62,2025-05-16,Interview,Pending
200,22,62,2025-01-19,Screening,Rejected
201,13,62,2025-04-04,Interview,Rejected
202,3,63,2025-02-22,Screening,Rejected
203,24,63,2025-04-17,Screening,Pending
204,11,63,2025-03-09,Interview,Pending
205,10,63,2025-02-04,Interview,Rejected
206,9,63,2025-04-24,Screening,Rejected
207,12,64,2025-05-01,Interview,Rejected
208,16,64,2025-04-02,Screening,Rejected
209,8,64,2025-02-09,Screening,Rejected
210,12,65,2025-05-14,Offer,Offered
211,9,65,2025-04-27,Applied,Withdrawn
212,25,65,2025-05-12,Applied,Withdrawn
213,10,65,2025-02-10,Screening,Rejected
214,9,66,2025-04-24,Offer,Offered
215,25,66,2025-05-16,Interview,Rejected
216,8,66,2025-02-11,Interview,Rejected
217,4,67,2025-02-17,Screening,Rejected
218,2,67,2025-02-05,Screening,Rejected
219,21,67,2025-06-07,Interview,Rejected
220,8,67,2025-02-11,Screening,Rejected
221,26,68,2025-02-06,Interview,Pending
222,18,68,2025-03-28,Applied,Pending
223,20,68,2025-05-15,Interview,Rejected
224,9,69,2025-04-21,Screening,Rejected
225,25,69,2025-05-16,Interview,Rejected
226,17,69,2025-07-05,Interview,Pending
227,15,69,2025-02-10,Interview,Pending
228,5,70,2025-05-14,Offer,Offered
229,13,70,2025-04-02,Screening,Rejected
230,15,70,2025-02-17,Screening,Rejected
231,25,70,2025-05-14,Screening,Rejected
232,14,71,2025-03-09,Screening,Rejected
233,21,71,2025-05-25,Screening,Rejected
234,5,71,2025-05-22,Screening,Rejected
235,25,72,2025-05-07,Interview,Rejected
236,6,72,2025-03-17,Offer,Offered
237,15,72,2025-02-20,Interview,Rejected
238,1,72,2025-05-24,Screening,Withdrawn
239,13,72,2025-03-31,Applied,Pending
240,20,73,2025-05-09,Screening,Rejected
241,21,73,2025-05-26,Screening,Rejected
242,4,74,2025-02-20,Screening,Rejected
243,8,74,2025-02-10,Offer,Offered
244,4,75,2025-02-09,Screening,Rejected
245,1,75,2025-06-02,Applied,Pending
246,10,75,2025-02-17,Interview,Pending
247,5,75,2025-05-19,Interview,Rejected
248,7,75,2025-05-13,Screening,Rejected
249,24,76,2025-04-05,Screening,Rejected
250,15,76,2025-02-15,Interview,Rejected
251,19,76,2025-05-06,Offer,Offered
252,8,76,2025-02-02,Offer,Offered
253,6,77,2025-03-21,Interview,Pending
254,24,77,2025-04-14,Screening,Rejected
255,22,78,2025-01-18,Screening,Rejected
256,2,78,2025-02-03,Screening,Rejected
257,10,79,2025-02-18,Screening,Pending
258,16,79,2025-03-28,Screening,Rejected
259,26,79,2025-02-09,Interview,Rejected
260,6,79,2025-03-27,Interview,Pending
261,1,80,2025-05-29,Screening,Rejected
262,16,80,2025-04-02,Offer,Offered
263,10,81,2025-02-18,Interview,Rejected
264,1,81,2025-05-29,Interview,Pending
265,5,82,2025-05-18,Screening,Rejected
266,3,82,2025-02-19,Interview,Rejected
267,11,83,2025-03-10,Screening,Withdrawn
268,5,83,2025-05-21,Interview,Rejected
269,11,84,2025-03-04,Applied,Pending
270,6,84,2025-03-29,Screening,Withdrawn
271,20,85,2025-05-24,Offer,Offered
272,23,85,2025-05-21,Offer,Offered
273,7,86,2025-05-22,Screening,Rejected
274,11,86,2025-03-05,Screening,Rejected
275,8,86,2025-01-30,Offer,Offered
276,2,86,2025-02-07,Interview,Pending
277,6,86,2025-03-17,Screening,Withdrawn
278,5,87,2025-05-23,Screening,Pending
279,7,87,2025-05-21,Interview,Rejected
280,4,87,2025-02-11,Screening,Rejected
281,10,88,2025-02-04,Screening,Pending
282,13,88,2025-04-10,Screening,Rejected
283,6,88,2025-03-17,Interview,Rejected
284,21,88,2025-05-22,Screening,Rejected
285,9,88,2025-04-24,Screening,Rejected
286,19,89,2025-05-06,Screening,Rejected
287,14,89,2025-03-09,Offer,Offered
288,12,89,2025-05-09,Applied,Pending
289,24,89,2025-04-14,Screening,Rejected
290,23,90,2025-05-18,Interview,Pending
291,24,90,2025-04-12,Screening,Rejected
292,18,90,2025-03-23,Screening,Pending
293,13,91,2025-04-11,Offer,Offered
294,2,91,2025-02-14,Screening,Rejected
295,19,91,2025-05-05,Screening,Rejected
296,6,91,2025-03-26,Interview,Pending
297,21,91,2025-05-23,Applied,Pending
298,25,92,2025-05-19,Applied,Pending
299,13,92,2025-04-02,Screening,Pending
300,14,92,2025-03-04,Offer,Offered
301,19,93,2025-04-24,Screening,Rejected
302,6,93,2025-03-24,Screening,Withdrawn
303,2,93,2025-02-08,Offer,Offered
304,7,93,2025-05-22,Interview,Rejected
305,9,93,2025-04-21,Screening,Pending
306,20,94,2025-05-20,Screening,Rejected
307,14,94,2025-03-03,Screening,Rejected
308,21,95,2025-05-25,Offer,Offered
309,6,95,2025-03-27,Screening,Rejected
310,14,95,2025-03-17,Interview,Rejected
311,18,95,2025-03-23,Interview,Rejected
312,16,96,2025-03-26,Screening,Rejected
313,11,96,2025-03-19,Screening,Rejected
314,20,97,2025-05-09,Screening,Rejected
315,13,97,2025-03-27,Offer,Offered
316,1,98,2025-05-16,Offer,Offered
317,7,98,2025-05-18,Screening,Rejected
318,8,98,2025-02-02,Offer,Offered
319,3,99,2025-02-07,Interview,Pending
320,2,99,2025-02-14,Interview,Rejected
321,17,100,2025-07-04,Interview,Pending
322,9,100,2025-05-04,Screening,Rejected
323,5,100,2025-05-08,Screening,Pending
324,20,100,2025-05-12,Interview,Rejected
325,19,100,2025-05-10,Applied,Pending
326,20,101,2025-05-24,Interview,Pending
327,6,101,2025-03-13,Offer,Offered
328,1,101,2025-05-21,Interview,Pending
329,5,101,2025-05-21,Interview,Rejected
330,3,101,2025-02-24,Screening,Rejected
331,18,102,2025-03-28,Interview,Rejected
332,17,102,2025-06-26,Screening,Rejected
333,26,102,2025-02-13,Screening,Withdrawn
334,23,103,2025-05-28,Screening,Rejected
335,19,103,2025-04-26,Interview,Rejected
336,16,103,2025-04-01,Interview,Rejected
337,1,103,2025-05-20,Screening,Pending
338,24,103,2025-04-02,Interview,Pending
339,15,104,2025-02-22,Interview,Rejected
340,4,104,2025-02-13,Interview,Rejected
341,11,105,2025-03-16,Screening,Rejected
342,8,105,2025-02-06,Screening,Withdrawn
343,9,105,2025-04-21,Interview,Rejected
344,20,105,2025-05-18,Interview,Rejected
345,13,106,2025-03-27,Interview,Rejected
346,4,106,2025-02-18,Screening,Pending
347,19,106,2025-04-29,Screening,Rejected
348,21,107,2025-05-30,Offer,Offered
349,14,107,2025-03-14,Interview,Rejected
350,8,108,2025-02-01,Screening,Pending
351,25,108,2025-05-17,Screening,Rejected
352,1,108,2025-05-31,Screening,Withdrawn
353,17,108,2025-06-20,Screening,Rejected
354,15,108,2025-02-09,Applied,Withdrawn
355,21,109,2025-05-31,Screening,Rejected
356,9,109,2025-04-24,Screening,Rejected
357,5,109,2025-05-20,Interview,Rejected
358,2,110,2025-02-17,Screening,Rejected
359,23,110,2025-05-14,Screening,Rejected
360,24,110,2025-04-07,Screening,Rejected
361,4,110,2025-02-21,Screening,Rejected
362,14,111,2025-03-08,Screening,Rejected
363,2,111,2025-02-11,Interview,Rejected
364,4,112,2025-02-21,Offer,Offered
365,17,112,2025-06-27,Screening,Withdrawn
366,5,112,2025-05-11,Screening,Rejected
367,12,112,2025-04-30,Screening,Rejected
368,3,113,2025-02-09,Screening,Rejected
369,23,113,2025-05-28,Offer,Offered
370,13,113,2025-04-06,Applied,Pending
371,19,114,2025-04-26,Screening,Pending
372,15,114,2025-02-16,Interview,Rejected
373,24,114,2025-04-17,Interview,Rejected
374,4,114,2025-02-20,Screening,Pending
375,22,114,2025-01-23,Interview,Pending
376,12,115,2025-05-14,Screening,Rejected
377,6,115,2025-03-15,Screening,Rejected
378,14,115,2025-03-04,Screening,Rejected
379,22,115,2025-02-03,Screening,Rejected
380,17,116,2025-07-05,Screening,Rejected
381,11,116,2025-03-16,Offer,Offered
382,19,117,2025-04-24,Screening,Rejected
383,26,117,2025-02-10,Interview,Rejected
384,5,117,2025-05-16,Screening,Rejected
385,23,117,2025-05-14,Screening,Rejected
386,8,117,2025-02-02,Screening,Rejected
387,3,118,2025-02-14,Offer,Offered
388,13,118,2025-03-31,Screening,Withdrawn
389,10,118,2025-02-03,Screening,Rejected
390,22,118,2025-01-18,Interview,Rejected
391,12,118,2025-05-08,Interview,Rejected
392,18,119,2025-03-25,Screening,Rejected
393,22,119,2025-01-28,Applied,Pending
394,24,119,2025-04-14,Interview,Pending
395,21,120,2025-05-28,Offer,Offered
396,11,120,2025-03-03,Interview,Rejected
397,24,121,2025-04-07,Offer,Offered
398,6,121,2025-03-28,Screening,Rejected
399,15,121,2025-02-17,Screening,Rejected
400,4,121,2025-02-05,Offer,Offered
401,4,122,2025-02-13,Screening,Rejected
402,3,122,2025-02-20,Interview,Rejected
403,18,122,2025-03-31,Screening,Rejected
404,16,122,2025-04-06,Interview,Pending
405,14,123,2025-03-10,Screening,Rejected
406,4,123,2025-02-10,Screening,Rejected
407,21,124,2025-05-24,Screening,Rejected
408,9,124,2025-04-30,Applied,Pending
409,5,125,2025-05-22,Interview,Pending
410,24,125,2025-04-09,Interview,Pending
411,15,125,2025-02-23,Offer,Offered
412,20,125,2025-05-15,Screening,Rejected
413,9,125,2025-04-25,Offer,Offered
414,21,126,2025-06-04,Screening,Pending
415,15,126,2025-02-15,Applied,Pending
416,12,126,2025-05-12,Screening,Withdrawn
417,9,126,2025-04-30,Interview,Pending
418,1,127,2025-05-28,Applied,Withdrawn
419,7,127,2025-05-17,Interview,Rejected
420,10,128,2025-02-11,Interview,Rejected
421,17,128,2025-06-23,Screening,Rejected
422,25,128,2025-05-09,Offer,Offered
423,23,128,2025-05-29,Screening,Rejected
424,2,129,2025-02-05,Screening,Rejected
425,21,129,2025-05-23,Screening,Rejected
426,23,129,2025-05-23,Interview,Pending
427,8,130,2025-02-12,Interview,Pending
428,16,130,2025-04-03,Screening,Rejected
429,23,131,2025-05-14,Screening,Rejected
430,20,131,2025-05-23,Screening,Pending
431,23,132,2025-05-27,Applied,Pending
432,10,132,2025-02-19,Interview,Rejected
433,17,132,2025-06-30,Interview,Rejected
434,25,132,2025-05-06,Screening,Rejected
435,2,132,2025-02-18,Screening,Rejected
436,16,133,2025-04-03,Screening,Rejected
437,20,133,2025-05-21,Screening,Rejected
438,5,133,2025-05-16,Screening,Rejected
439,5,134,2025-05-22,Applied,Pending
440,11,134,2025-03-20,Screening,Rejected
441,13,134,2025-03-31,Interview,Rejected
442,16,134,2025-04-04,Screening,Rejected
443,15,134,2025-02-09,Applied,Pending
444,14,135,2025-03-07,Interview,Rejected
445,25,135,2025-05-20,Offer,Offered
446,3,135,2025-02-16,Offer,Offered
447,4,135,2025-02-12,Screening,Rejected
448,20,136,2025-05-14,Offer,Offered
449,4,136,2025-02-06,Screening,Rejected
450,9,136,2025-04-26,Screening,Pending
451,22,136,2025-01-28,Screening,Rejected
452,19,136,2025-05-07,Screening,Rejected
453,26,137,2025-02-16,Interview,Rejected
454,18,137,2025-04-08,Screening,Withdrawn
455,2,137,2025-02-16,Interview,Rejected
456,12,137,2025-05-16,Interview,Pending
457,13,137,2025-04-07,Interview,Rejected
458,22,138,2025-01-18,Offer,Offered
459,25,138,2025-05-07,Offer,Offered
460,6,138,2025-03-22,Applied,Pending
461,4,138,2025-02-20,Screening,Rejected
462,24,138,2025-04-17,Applied,Pending
463,3,139,2025-02-20,Applied,Withdrawn
464,2,139,2025-02-06,Screening,Rejected
465,16,139,2025-04-03,Interview,Rejected
466,17,139,2025-06-29,Screening,Pending
467,6,139,2025-03-23,Screening,Pending
468,1,140,2025-05-16,Screening,Rejected
469,25,140,2025-05-06,Offer,Offered
470,24,141,2025-04-11,Applied,Pending
471,26,141,2025-02-07,Screening,Rejected
472,6,142,2025-03-16,Interview,Rejected
473,26,142,2025-02-16,Screening,Rejected
474,4,142,2025-02-08,Interview,Rejected
475,7,142,2025-05-12,Screening,Rejected
476,16,143,2025-03-24,Interview,Rejected
477,23,143,2025-05-25,Offer,Offered
478,1,144,2025-05-16,Screening,Rejected
479,15,144,2025-02-08,Interview,Rejected
480,10,144,2025-02-20,Screening,Rejected
481,12,144,2025-04-30,Screening,Rejected
482,15,145,2025-02-17,Screening,Rejected
483,16,145,2025-03-29,Applied,Withdrawn
484,25,145,2025-05-11,Interview,Rejected
485,15,146,2025-02-22,Applied,Pending
486,8,146,2025-02-13,Screening,Rejected
487,18,146,2025-04-06,Applied,Pending
488,10,147,2025-02-14,Interview,Pending
489,22,147,2025-01-29,Interview,Pending
490,2,148,2025-02-07,Offer,Offered
491,9,148,2025-04-28,Interview,Rejected
492,16,148,2025-03-24,Screening,Rejected
493,15,148,2025-02-07,Screening,Pending
494,18,149,2025-03-29,Interview,Pending
495,15,149,2025-02-19,Interview,Rejected
496,22,149,2025-01-18,Applied,Pending
497,18,150,2025-04-06,Offer,Offered
498,6,150,2025-03-21,Offer,Offered
499,16,150,2025-03-25,Offer,Offered
500,13,150,2025-03-27,Applied,Pending
